新MJ_ID	新unicode	新note	旧MJ_ID	旧unicode 旧note
----------------------------------------------------------------------------------
MJ006303	丈		MJ006304	missing
MJ006300	万	なりたち：古くから萬の略字として用いられている。	MJ022255	萬
MJ006327	丙	なりたち：房（まないた）の本字。	MJ006329	missing
MJ006362	主		MJ006363	missing
MJ006398	乗	なりたち：教育漢字は俗字による。	MJ006399	乘
MJ006415	乱	なりたち：教育漢字は省略形の俗字による。	MJ006426	亂	なりたち：𤔔(MJ040234)が原字。𤔔はすたれ、亂がこれにかわって用いられる。
MJ006417	乳		MJ006416	missing
MJ006433	予	予の旧字(A);意味：あたえる・われ	MJ024939	豫	予の旧字(B);意味：あらかじめ
MJ006454	亜	なりたち：常用漢字は省略形による。	MJ006456	亞
MJ006463	亡		MJ006462	missing
MJ006470	亥		MJ006471	missing
MJ006467	交		MJ006469	missing
MJ007779	化		MJ007778	missing
MJ006513	仏	なりたち：教育漢字は佛の異体字による。	MJ006646	佛
MJ006540	仮	なりたち：教育漢字はもと反の異体字であるが、俗に假の略字として用いられていたものによる。	MJ006895	假
MJ006586	会	なりたち：教育漢字は省略形による。	MJ013510	會
MJ006589	伝	なりたち：教育漢字は日本で用いられていた俗字による。	MJ007023	傳
MJ006632	住		MJ006633	missing
MJ006637	体	体の旧字(B);音：ホン;意味：そまつな;なりたち：俗に體の略字として誤用されていた。教育漢字はこれによる。	MJ028895	體	体の旧字(A);音：タイ;意味：からだ
MJ006602	伴		MJ006601	missing
MJ006644	余	余の旧字(A);意味：われ;なりたち：教育漢字は、俗に余を餘の略字として用いたものによる。	MJ028433	餘	余の旧字(B);意味：あまる
MJ006723	価	なりたち：教育漢字は省略形による。	MJ007121	價
MJ006687	使		MJ006688	missing
MJ006728	侮	なりたち：常用漢字は省略形による。	MJ030244	侮
MJ006672	併	なりたち：常用漢字は俗字による。	MJ006815	倂
MJ013641	来	なりたち：教育漢字は省略形による。	MJ006695	來
MJ006737	侵		MJ006736	missing
MJ006749	便		MJ006750	missing
MJ006882	倹	なりたち：常用漢字は省略形による。	MJ007140	儉
MJ006827	倍		--------	missing	入力者註：正確には※(立の一画目が横棒になった倍)
MJ006961	偽	なりたち：常用漢字は省略形による。	MJ007081	僞
MJ006933	健		MJ006934	missing
MJ006908	偏		MJ006907	missing
MJ006900	偉		MJ006898	missing
MJ006979	傍		MJ006980	missing
MJ006988	傑		MJ006986	missing
MJ007095	僧	なりたち：常用漢字は省略形の俗字による。	MJ030245	僧
MJ007133	億		MJ007134	missing
MJ007216	充	なりたち：常用漢字はㄊを𠫓に誤った俗字による。	MJ007215	missing
MJ007234	児	なりたち：教育漢字は省略形による。	MJ007236	兒
MJ007230	免	なりたち：常用漢字は俗字による。	MJ030246	免
MJ007249	党	なりたち：もと、西方の種族の名を表わしたが、古くから俗に黨の略字として用いられている。教育漢字はこれによる。	MJ029923	黨
MJ007304	内	なりたち：教育漢字は俗字による。	MJ007266	內
MJ006336	両	なりたち：教育漢字は俗字による。	MJ007270	兩
MJ007273	八		MJ007274	missing
MJ007275	公		MJ007276	missing
MJ007288	具		MJ007289	missing
MJ007297	兼		MJ056985	missing
MJ010801	巽		MJ010800	missing
MJ007309	冊	なりたち：古くは𠕋が正字形とされたが、むしろ𠕁・冊・册と書くべきもの。教育漢字には冊が採用された。	MJ007311	册
MJ007359	冬		MJ007358	missing
MJ007369	冴	なりたち：もと、冱の誤字。	MJ007367	missing
MJ010199	寒		MJ010200	missing
MJ007417	凡		--------	missing	入力者註：正確には※(glyphwiki u51e1-var-003)
