拡張新字体	標準字体
-------------------------
𠈓	倆
𠑊	儼
𠡍	勁
𡉴	壚
𡋗	𡑭
𡋤	壗
𡵸	嶧
𡸳	嶢
𡸴	嶮
𢗜	懌
𢡛	懣
𢭏	擣
𢭐	撈
𢮦	撿
𢲣	攏
𣓤	橈
𣟿	㰛
𣠤	欟
𤂣	瀟
𥆩	睨
𥇥	瞼
𥈞	瞞
𥐮	礋
𥒎	碊
𥫣	籅
𥹥	𥼽
𦙾	脛
𦜝	臍
𧜎	襷
𧦅	謳
𧮾	谿
𧯇	豅
𧽳	䟒
𨀃	踁
𨂋	躋
𨂻	蹈
𨦇	鋏
𨪙	鏘
𨫍	鏸
𨫝	鑵
𨸟	䧢
𨻫	隴
𨿸	雞
𩜙	饒
𩥶	驌
𩦪	驤
𪗱	齟
𪘂	齧
𪘚	齬
𪱨	朧
𫒔	鋞
𫕅	隮
𫝓	協
𫝚	囀
𫝜	囃
𫝼	撥
𫞇	臘
𫞋	樅
𫞔	殲
𫞬	痙
𫟰	鐺
𫠘	鼬
𫠚	齣
𫬄	嚷
𬠅	蟷
𬢣	諓
𬢪	譸
𭢯	攘
𮚁	齎
𮣐	鑲
㐮	襄
㑪	儕
㫪	舂
㴞	滔
㷔	熖
㸿	犢
䇳	箋
䉤	籔
䋆	纑
䋝	纓
䏮	脇
䔥	蕭
䡎	轤
䬻	餞
䰗	鬮
伜	倅
侠	俠
侭	儘
倶	俱
僣	僭
剥	剝
叱	𠮟
呑	吞
呕	嘔
唖	啞
嘘	噓
噛	嚙
嚢	囊
填	塡
壷	壺
妍	姸
尭	堯
屏	屛
屡	屢
并	幷
廰	廳
弯	彎
忰	悴
抬	擡
掴	摑
掻	搔
撹	攪
攅	攢
昿	曠
档	檔
桧	檜
梼	檮
椢	槶
槙	槇
槞	櫳
檪	櫟
沪	濾
涛	濤
涜	瀆
渊	淵
溌	潑
潅	灌
焔	焰
珱	瓔
瑶	瑤
畴	疇
砺	礪
砿	礦
祢	禰
祷	禱
竃	竈
筝	箏
箪	簞
篭	籠
緕	纃
繋	繫
繍	繡
翆	翠
舮	艫
芦	蘆
莱	萊
蒋	蔣
蘂	蕊
薮	藪
蛎	蠣
蝉	蟬
蝋	蠟
蝿	蠅
褝	襌
諌	諫
譛	譖
賎	賤
躯	軀
軣	轟
輌	輛
迩	邇
遥	遙
醗	醱
醤	醬
鈩	鑪
鈬	鐸
鑚	鑽
陦	隯
靭	靱
頚	頸
頬	頰
顛	顚
騨	驒
鯵	鰺
鴎	鷗
鴬	鶯
鹸	鹼
麸	麩
麹	麴
鿆	祓
﨔	欅
蘒	蘒
